,Range (1 to 5),Range (1 to 5),Range (1 to 5),Range (1 to 5)
,#constraints,Constraint Complexity,Clarity,Prompt Complexity
Come up with a story which has 7 characters and a place called Bhopal and the story should revolve around Children betraying parents.,3,2,5,2
"Come up with entertaining stories that are engaging, imaginative and captivating for the audience. It can be fairy tales, educational stories or any other type of stories which has the potential to capture people's attention and imagination. Depending on the target audience, you may choose specific themes or topics for your storytelling session e.g., if it’s children then you can talk about animals; If it’s adults then history-based tales might engage them better etc. My first request is ""I need an interesting story on perseverance.",2,3,4,3
"Write a historical fiction piece set during the Renaissance era, revolving around a talented young artist who discovers a mysterious painting that holds the key to uncovering a long-lost secret of the Medici family",4,3,4,3
"Imagine a dystopian society where music is banned, and creativity is stifled. Tell the story of a rebellious teenager who risks everything to bring music back to the world and inspire hope among the oppressed.",3,3,4,3
"Craft is a mystery thriller set in a sleepy coastal town, where a series of strange disappearances leads a group of teenagers to uncover a sinister secret hidden beneath the waves",2,2,2,4
"Compose a fantasy epic centered around a legendary sword with the power to control the elements, following the journey of a reluctant hero who must wield the sword to defeat an ancient evil threatening to plunge the world into darkness",4,4,4,4
"Craft a whimsical tale set in a magical forest where animals can speak, centered around a curious rabbit who embarks on a quest to find the lost key to the forest's hidden treasure.",3,3,4,3
"Develop a science fiction story set on a distant planet inhabited by sentient alien beings, where a human astronaut crash-lands and must form an unlikely alliance with the native creatures to survive and find a way back home.",4,3,4,3
Write a story where time functions differently to our world,1,1,5,2
Write a story from the point of view of a non-human character,1,1,5,1
imagine that you are an astronaut who has been doing research on the moon for three years. You are going to go back to earth in a week when nuclear war breaks out on earth. You watch the earth explode. Then what?,3,2,4,3
"Tell this story: “Well, I thought it was going to be a regular summer doing all our regular things…",2,2,4,2
Write a story where the laws of time and space begin to dissolve,1,3,5,3
Write the story in exactly 500 words with alternating perspectives between two characters witnessing the dissolution of time and space.,2,3,4,3
"Write the story as a single paragraph, exploring the disintegration of reality in a stream-of-consciousness narrative.",3,2,4,2
"Structure the story as a series of vignettes, each depicting a different moment in time, with each vignette containing exactly 100 words.",3,4,5,3
Write a story where the ticking clock on the wall begins to unravel along with the fabric of time itself. The story must contain exactly 200 words and be structured as a single paragraph.,2,3,4,3
Write a story where the ticking clock on the wall begins to unravel along with the fabric of time itself. The story must contain exactly 150 words and be written entirely in dialogue between two characters.,3,3,4,3
Write a story where the ticking clock on the wall begins to unravel along with the fabric of time itself. The story must contain exactly 100 words and incorporate a flashback to a significant moment in the protagonist's past.,3,3,4,4
